variable,coefficient,abs_coef
31393-join_why-6,-0.03587444884362163,0.03587444884362163
31386-covid_results-999,-0.035699925609635114,0.035699925609635114
30138-COVID_Why-1,0.0356412482546607,0.0356412482546607
30141-covid_tst_symptoms-5,0.034653042950128346,0.034653042950128346
32150-preferred_time__X__32135-annual_income,0.03462821509818499,0.03462821509818499
30154-Symptoms_Resp-999,-0.034042003191494294,0.034042003191494294
30428-housecount_specify__X__32135-annual_income,0.033929041079489436,0.033929041079489436
30082-Race-1,-0.03348557177950677,0.03348557177950677
30101-ace_medication,0.03250376683616962,0.03250376683616962
29792-consent_covid+__X__32150-preferred_time,-0.032389636269620846,0.032389636269620846
31346-past12mo_tech-4,-0.032068355006427095,0.032068355006427095
30141-covid_tst_symptoms-26,-0.03157799060099819,0.03157799060099819
32353-pinkline_results_2,-0.02994461869502878,0.02994461869502878
30124-ColorBlind_type,0.029221378708232347,0.029221378708232347
32362-noblue_confirm_2,-0.028221300618385573,0.028221300618385573
30138-COVID_Why-3,0.02609120173365103,0.02609120173365103
31361-trust_measures_insurance,-0.026003981288172908,0.026003981288172908
31346-past12mo_tech-1,-0.0252990098406743,0.0252990098406743
31344-devices_own-4,-0.024693184008761658,0.024693184008761658
36104-Post_vaccinefactors-2,-0.024517769401942783,0.024517769401942783
30169-Food_poison,-0.023744837051306113,0.023744837051306113
30103-conditionsrisks-13,-0.023674816948250573,0.023674816948250573
32138-vaccine_factors-3,-0.02107941812019315,0.02107941812019315
30090-Birthsex,0.02093094997398179,0.02093094997398179
30141-covid_tst_symptoms-1,-0.020710293722122713,0.020710293722122713
30725-have_allitems,0.020519941759057126,0.020519941759057126
32615-Symptoms_Ill_28,0.02031348891404056,0.02031348891404056
30141-covid_tst_symptoms-25,0.020098568809314665,0.020098568809314665
32138-vaccine_factors-14,-0.018931985892749557,0.018931985892749557
32604-Symptoms_Ill_17,0.017929767558909092,0.017929767558909092
30141-covid_tst_symptoms-8,0.01720171849176593,0.01720171849176593
30141-covid_tst_symptoms-13,-0.016887897729637828,0.016887897729637828
32602-Symptoms_Ill_15,-0.016461664421254487,0.016461664421254487
31353-fitness_use,-0.01637805989214164,0.01637805989214164
30075-Other_household__X__30091-Education,-0.0160736428834874,0.0160736428834874
31350-healthdevice_type-6,-0.014970130030277428,0.014970130030277428
32138-vaccine_factors-11,-0.014712153033682628,0.014712153033682628
31393-join_why-5,0.014305167426941054,0.014305167426941054
29871-KitReceived_response__X__32135-annual_income,0.01333395466796913,0.01333395466796913
30158-Symtpom_Neuro-2,0.012094686891019679,0.012094686891019679
30165-Prev_Diag,-0.011868681098162637,0.011868681098162637
29790-consent_applies__X__30091-Education,-0.011483011451761255,0.011483011451761255
32594-Symptoms_Ill_7,-0.011181613466380627,0.011181613466380627
36104-Post_vaccinefactors-11,0.011098947511432797,0.011098947511432797
30160-Symptom_Inflamm-1,-0.010917499168152399,0.010917499168152399
32150-preferred_time__X__29871-KitReceived_response,0.01073604604150764,0.01073604604150764
31356-past12_recommended-3,0.010269607020723893,0.010269607020723893
30091-Education,-0.009414965711592666,0.009414965711592666
29789-consent_18yrs__X__30091-Education,-0.009414965711592666,0.009414965711592666
29829-consent__X__30091-Education,-0.009414965711592666,0.009414965711592666
29791-consent_english__X__30091-Education,-0.009414965711592666,0.009414965711592666
29793-consent_location__X__30091-Education,-0.009414965711592666,0.009414965711592666
30100-weight_options,0.008379083848314354,0.008379083848314354
32321-time_picker_2,-0.008294098818476193,0.008294098818476193
30081-general_health__X__30091-Education,-0.007770612771954386,0.007770612771954386
29789-consent_18yrs__X__30075-Other_household,-0.007415050340699296,0.007415050340699296
29829-consent__X__30075-Other_household,-0.007415050340699296,0.007415050340699296
30075-Other_household,-0.007415050340699296,0.007415050340699296
29793-consent_location__X__30075-Other_household,-0.007415050340699296,0.007415050340699296
29791-consent_english__X__30075-Other_household,-0.007415050340699296,0.007415050340699296
30156-Symptom_GI-1,0.007253208631650036,0.007253208631650036
30081-general_health__X__32135-annual_income,-0.006933897180838395,0.006933897180838395
29871-KitReceived_response__X__30091-Education,-0.0068302256496210745,0.0068302256496210745
29829-consent__X__32135-annual_income,0.006732123332188448,0.006732123332188448
