concept_code,target_concept_code,concept_tier,target_tier,n11,n10,n01,n00,support_both,odds_ratio,log_odds_ratio,phi,p_target_given_code,p_target_given_no_code,n_code_before_target_final,n_target_before_code_final
30183-states_specify-45,30183-states_specify-11,2,2,0,2,8,716,0.0,16.858823529411765,2.8248741713378553,-0.005547898233594713,0.0,0.011049723756906077,2,8
30183-states_specify-45,30183-states_specify-14,2,2,0,2,1,723,0.0,96.46666666666667,4.569197525529273,-0.0019519860581845667,0.0,0.0013812154696132596,2,1
30183-states_specify-45,30183-states_specify-19,2,2,0,2,1,723,0.0,96.46666666666667,4.569197525529273,-0.0019519860581845667,0.0,0.0013812154696132596,2,1
30183-states_specify-45,30183-states_specify-20,2,2,0,2,1,723,0.0,96.46666666666667,4.569197525529273,-0.0019519860581845667,0.0,0.0013812154696132596,2,1
30183-states_specify-45,30183-states_specify-21,2,2,0,2,2,722,0.0,57.8,4.056988775678332,-0.0027624309392265192,0.0,0.0027624309392265192,2,2
30183-states_specify-45,30183-states_specify-23,2,2,0,2,1,723,0.0,96.46666666666667,4.569197525529273,-0.0019519860581845667,0.0,0.0013812154696132596,2,1
30183-states_specify-45,30183-states_specify-24,2,2,0,2,1,723,0.0,96.46666666666667,4.569197525529273,-0.0019519860581845667,0.0,0.0013812154696132596,2,1
30183-states_specify-45,30183-states_specify-25,2,2,0,2,3,721,0.0,41.22857142857143,3.719131497284457,-0.0033856120631923694,0.0,0.004143646408839779,2,3
30183-states_specify-45,30183-states_specify-27,2,2,0,2,7,717,0.0,19.133333333333333,2.951432014657411,-0.005185973456148796,0.0,0.009668508287292817,2,7
30183-states_specify-45,30183-states_specify-28,2,2,1,1,45,679,0.0013774104683195593,14.934065934065934,2.7036449076342937,0.09420449043588275,0.5,0.062154696132596686,1,45
30183-states_specify-45,30183-states_specify-3,2,2,0,2,3,721,0.0,41.22857142857143,3.719131497284457,-0.0033856120631923694,0.0,0.004143646408839779,2,3
30183-states_specify-45,30183-states_specify-33,2,2,0,2,24,700,0.0,5.718367346938775,1.74368333579228,-0.009718131682188694,0.0,0.03314917127071823,2,24
30183-states_specify-45,30183-states_specify-34,2,2,0,2,2,722,0.0,57.8,4.056988775678332,-0.0027624309392265192,0.0,0.0027624309392265192,2,2
30183-states_specify-45,30183-states_specify-38,2,2,0,2,1,723,0.0,96.46666666666667,4.569197525529273,-0.0019519860581845667,0.0,0.0013812154696132596,2,1
30183-states_specify-45,30183-states_specify-39,2,2,0,2,7,717,0.0,19.133333333333333,2.951432014657411,-0.005185973456148796,0.0,0.009668508287292817,2,7
30183-states_specify-45,30183-states_specify-40,2,2,0,2,1,723,0.0,96.46666666666667,4.569197525529273,-0.0019519860581845667,0.0,0.0013812154696132596,2,1
30183-states_specify-45,30183-states_specify-41,2,2,0,2,1,723,0.0,96.46666666666667,4.569197525529273,-0.0019519860581845667,0.0,0.0013812154696132596,2,1
30183-states_specify-45,30183-states_specify-42,2,2,0,2,11,713,0.0,12.408695652173913,2.5183974891135863,-0.00651912091670049,0.0,0.015193370165745856,2,11
30183-states_specify-45,30183-states_specify-50,2,2,0,2,2,722,0.0,57.8,4.056988775678332,-0.0027624309392265192,0.0,0.0027624309392265192,2,2
30183-states_specify-45,30183-states_specify-52,2,2,0,2,1,723,0.0,96.46666666666667,4.569197525529273,-0.0019519860581845667,0.0,0.0013812154696132596,2,1
30183-states_specify-45,30183-states_specify-6,2,2,0,2,4,720,0.0,32.022222222222226,3.4664301062292022,-0.003912074453932455,0.0,0.0055248618784530384,2,4
30183-states_specify-45,30183-states_specify-9,2,2,0,2,10,714,0.0,13.60952380952381,2.610769827772344,-0.006211395793112399,0.0,0.013812154696132596,2,10
30183-states_specify-45,30183-states_specify-999,2,2,0,2,0,724,0.0,289.8,5.669191029886582,,0.0,0.0,2,0
30183-states_specify-45,31344-devices_own-1,2,2,1,0,519,151,0.0014903129657228018,0.8748796920115496,-0.13366889692174855,0.02081849835382901,1.0,0.7746268656716417,0,519
30183-states_specify-45,31344-devices_own-2,2,2,0,1,301,369,0.0,0.4085129906025428,-0.8952315644470934,-0.03484536230118388,0.0,0.44925373134328356,1,301
30183-states_specify-45,31344-devices_own-3,2,2,1,0,608,62,0.0014903129657228018,0.30813475760065734,-1.1772180670171164,0.012326784314985415,1.0,0.9074626865671642,0,608
30183-states_specify-45,31344-devices_own-4,2,2,0,1,59,611,0.0,3.425770308123249,1.2313263539075332,-0.01199534914588137,0.0,0.0880597014925373,1,59
30183-states_specify-45,31344-devices_own-5,2,2,0,1,88,582,0.0,2.193973634651601,0.7857143447578622,-0.015009618618879082,0.0,0.13134328358208955,1,88
30183-states_specify-45,31344-devices_own-999,2,2,0,1,7,663,0.0,29.488888888888887,3.3840135445618875,-0.003966683767517993,0.0,0.010447761194029851,1,7
30183-states_specify-45,31346-past12mo_tech-1,2,2,0,1,439,231,0.0,0.17557830868411073,-1.7396701322670527,-0.05314358723912327,0.0,0.655223880597015,1,439
30183-states_specify-45,31346-past12mo_tech-2,2,2,0,1,241,429,0.0,0.5928226363008972,-0.5228600203364271,-0.028922570752337777,0.0,0.3597014925373134,1,241
30183-states_specify-45,31346-past12mo_tech-3,2,2,1,0,243,427,0.0014903129657228018,5.26694045174538,1.66144963452228,0.051107145278399796,1.0,0.36268656716417913,0,243
30183-states_specify-45,31346-past12mo_tech-4,2,2,0,1,153,517,0.0,1.1237785016286646,0.11669666944416265,-0.0209963321376383,0.0,0.22835820895522388,1,153
