concept_code,target_concept_code,n_code_target
30153-Symptoms-1,30103-conditionsrisks-20,260
30082-Race-2,31344-devices_own-3,260
30103-conditionsrisks-20,30153-Symptoms-1,260
30082-Race-2,31405-skipped_why-4,260
30082-Race-1,31346-past12mo_tech-1,259
30086-Gender-2,31393-join_why-3,259
30082-Race-2,30156-Symptom_GI-1,259
30158-Symtpom_Neuro-1,31393-join_why-1,258
31393-join_why-1,30158-Symtpom_Neuro-1,258
31396-join_hear-2,30153-Symptoms-1,257
30153-Symptoms-1,31396-join_hear-2,257
bin_30171-COVID_vaccine,30103-conditionsrisks-20,257
bin_age_40plus,bin_30171-COVID_vaccine,257
bin_age_40plus,31344-devices_own-3,256
30103-conditionsrisks-20,30166-Prev_exposure-1,255
31393-join_why-5,30158-Symtpom_Neuro-1,255
30158-Symtpom_Neuro-1,31393-join_why-5,255
30166-Prev_exposure-1,30103-conditionsrisks-20,255
30086-Gender-2,30082-Race-2,254
30082-Race-2,30086-Gender-2,254
31356-past12_recommended-2,31386-covid_results-2,253
31356-past12_recommended-4,30160-Symptom_Inflamm-1,252
30158-Symtpom_Neuro-1,31393-join_why-3,252
bin_30170-Flu_shot,30166-Prev_exposure-1,252
30082-Race-1,30158-Symtpom_Neuro-1,252
30160-Symptom_Inflamm-1,31356-past12_recommended-4,252
31356-past12_recommended-2,31405-skipped_why-4,251
31405-skipped_why-4,31356-past12_recommended-2,251
31393-join_why-5,31356-past12_recommended-1,250
30082-Race-2,bin_32136-vaccine_didyou,250
bin_30170-Flu_shot,30156-Symptom_GI-1,250
31356-past12_recommended-1,31393-join_why-5,250
bin_30171-COVID_vaccine,31344-devices_own-2,250
30082-Race-1,31356-past12_recommended-1,249
31396-join_hear-2,30158-Symtpom_Neuro-1,249
30158-Symtpom_Neuro-1,31396-join_hear-2,249
bin_30171-COVID_vaccine,31396-join_hear-2,249
30158-Symtpom_Neuro-1,30103-conditionsrisks-20,248
30103-conditionsrisks-20,30158-Symtpom_Neuro-1,248
31344-devices_own-3,31356-past12_recommended-2,248
31356-past12_recommended-2,31344-devices_own-3,248
bin_age_40plus,30166-Prev_exposure-1,248
bin_32136-vaccine_didyou,31344-devices_own-2,248
30082-Race-2,30158-Symtpom_Neuro-1,248
31346-past12mo_tech-1,31393-join_why-3,247
31396-join_hear-2,30166-Prev_exposure-1,246
30166-Prev_exposure-1,31396-join_hear-2,246
30086-Gender-2,30103-conditionsrisks-20,246
bin_32136-vaccine_didyou,31396-join_hear-2,246
31393-join_why-5,31393-join_why-3,244
bin_30171-COVID_vaccine,31356-past12_recommended-4,244
31393-join_why-6,31344-devices_own-1,243
31344-devices_own-1,31393-join_why-6,243
31344-devices_own-2,30166-Prev_exposure-1,242
30103-conditionsrisks-20,31344-devices_own-1,242
30166-Prev_exposure-1,31344-devices_own-2,242
31356-past12_recommended-1,31393-join_why-3,242
bin_age_40plus,30156-Symptom_GI-1,242
31344-devices_own-1,30103-conditionsrisks-20,242
30160-Symptom_Inflamm-1,31356-past12_recommended-2,240
bin_32136-vaccine_didyou,31356-past12_recommended-4,240
bin_30171-COVID_vaccine,bin_30170-Flu_shot,240
bin_30170-Flu_shot,bin_30171-COVID_vaccine,240
31356-past12_recommended-2,30160-Symptom_Inflamm-1,240
31344-devices_own-1,31396-join_hear-2,240
31396-join_hear-2,31344-devices_own-1,240
31393-join_why-5,30154-Symptoms_Resp-1,237
30154-Symptoms_Resp-1,31393-join_why-5,237
bin_30171-COVID_vaccine,31393-join_why-6,237
30082-Race-2,30154-Symptoms_Resp-1,237
bin_30107-alcohol_consume,31393-join_why-3,236
bin_32136-vaccine_didyou,31393-join_why-6,236
bin_30107-alcohol_consume,31393-join_why-5,236
31393-join_why-5,bin_30107-alcohol_consume,236
31346-past12mo_tech-3,31386-covid_results-2,235
bin_32136-vaccine_didyou,bin_30170-Flu_shot,235
30086-Gender-2,31393-join_why-1,235
bin_30170-Flu_shot,bin_32136-vaccine_didyou,235
30166-Prev_exposure-1,31393-join_why-6,234
31344-devices_own-2,30153-Symptoms-1,234
31393-join_why-6,30166-Prev_exposure-1,234
30153-Symptoms-1,31344-devices_own-2,234
31344-devices_own-2,30156-Symptom_GI-1,234
bin_age_40plus,30153-Symptoms-1,234
30156-Symptom_GI-1,31344-devices_own-2,234
bin_30170-Flu_shot,30158-Symtpom_Neuro-1,234
bin_30170-Flu_shot,30153-Symptoms-1,233
31393-join_why-1,31393-join_why-3,233
31344-devices_own-1,31356-past12_recommended-4,232
31346-past12mo_tech-2,31386-covid_results-2,232
31356-past12_recommended-4,31344-devices_own-1,232
30082-Race-2,bin_30171-COVID_vaccine,232
30082-Race-1,30154-Symptoms_Resp-1,231
bin_30171-COVID_vaccine,bin_36096-Post_covidvaccine,231
bin_36096-Post_covidvaccine,bin_30171-COVID_vaccine,231
bin_36096-Post_covidvaccine,bin_32136-vaccine_didyou,231
bin_32136-vaccine_didyou,bin_36096-Post_covidvaccine,231
31356-past12_recommended-4,30166-Prev_exposure-1,230
30166-Prev_exposure-1,31356-past12_recommended-4,230
